timestamp,co,voc,no2,eth
242002,1.67,0.79,1.94,2.78
242252,1.67,0.79,1.93,2.78
242502,1.67,0.79,1.93,2.77
242752,1.67,0.79,1.93,2.78
243002,1.67,0.79,1.93,2.78
243252,1.67,0.79,1.93,2.78
243502,1.67,0.79,1.93,2.78
243752,1.67,0.79,1.93,2.78
