timestamp,co,voc,no2,eth
212002,1.68,0.79,1.94,2.77
212252,1.68,0.79,1.94,2.77
212502,1.68,0.79,1.94,2.77
212752,1.68,0.79,1.94,2.77
213002,1.68,0.79,1.94,2.77
213252,1.68,0.79,1.94,2.77
213502,1.68,0.79,1.94,2.77
213752,1.68,0.79,1.94,2.77
