timestamp,co,voc,no2,eth
394002,1.61,0.75,1.86,2.78
394252,1.61,0.75,1.86,2.78
394502,1.61,0.75,1.86,2.78
394752,1.61,0.75,1.86,2.78
395002,1.61,0.75,1.86,2.79
395252,1.61,0.75,1.86,2.78
395502,1.61,0.75,1.86,2.79
395752,1.61,0.75,1.86,2.79
