timestamp,co,voc,no2,eth
186002,1.69,0.81,1.96,2.77
186252,1.69,0.81,1.96,2.77
186502,1.69,0.81,1.96,2.77
186752,1.69,0.81,1.96,2.77
187002,1.69,0.81,1.96,2.78
187252,1.69,0.81,1.96,2.77
187502,1.69,0.81,1.96,2.77
187752,1.69,0.81,1.96,2.77
